LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
C671N8KVAG,39,142253,101017,604,12,4,20.84,48,0.87,PhD,Part-time,Single,Yes,Yes,Education,No,0
1L1ATEHC1P,49,16444,41479,564,50,4,8.37,36,0.28,PhD,Part-time,Married,No,Yes,Home,Yes,0
WO8D7VBUAD,40,38777,127506,456,119,1,21.2,12,0.1,High School,Full-time,Married,No,Yes,Auto,Yes,0
K6WNKGWR0M,42,82100,170466,767,106,3,10.54,60,0.11,PhD,Unemployed,Divorced,Yes,Yes,Education,Yes,0
9Q96VZFFU0,63,148159,6895,564,11,4,6.03,48,0.19,High School,Part-time,Single,No,No,Home,Yes,0
FMRUUGJ67R,64,91607,15499,719,20,2,19.34,36,0.5,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0
WEY9A5Z4IS,67,94403,53343,655,41,2,23.52,24,0.78,PhD,Part-time,Divorced,No,No,Auto,Yes,0
NJBMYEP5R2,64,63482,171523,831,43,2,22.14,12,0.81,High School,Self-employed,Single,Yes,Yes,Auto,No,0
X14BWBOGY7,51,139492,207285,447,79,4,3.68,48,0.24,High School,Full-time,Married,Yes,No,Auto,No,0
1FR1O7G01R,30,68787,216415,771,14,1,3.23,24,0.74,Master's,Self-employed,Single,No,Yes,Education,No,0
JGMXGJWDPH,57,56281,57463,792,28,1,9.42,60,0.51,Bachelor's,Part-time,Married,No,No,Business,Yes,0
9R3BSI69YI,46,70291,9722,566,41,4,3.64,12,0.12,High School,Self-employed,Divorced,No,No,Auto,Yes,0
PULV7E00D5,48,95502,224951,479,90,1,22.29,36,0.35,Master's,Unemployed,Married,Yes,No,Education,No,0
LZP7UNFRQ3,20,136593,234571,841,108,2,9.91,60,0.44,Master's,Part-time,Married,No,Yes,Business,Yes,0
D29IQEEC97,47,103179,46466,613,87,2,17.73,60,0.19,High School,Full-time,Married,No,Yes,Home,No,0
P8I00BRPRT,31,28288,136086,308,29,1,24.54,36,0.46,Master's,Self-employed,Married,Yes,Yes,Auto,No,0
P7PASRX1ZX,50,135840,192851,794,89,1,14.68,60,0.84,PhD,Unemployed,Married,No,No,Education,No,0
W1VMOASVMF,62,108711,221024,386,68,2,17.34,48,0.85,High School,Part-time,Married,Yes,No,Home,No,0
V243X9Y3MY,56,72166,175083,661,75,3,14.98,60,0.61,Master's,Full-time,Single,Yes,No,Home,Yes,0
2Y0W22CRU6,59,62365,39815,328,58,3,12.43,60,0.25,High School,Unemployed,Divorced,Yes,Yes,Business,Yes,0
FO5ZRR4Y2D,47,25156,138004,581,65,2,12.03,36,0.88,PhD,Self-employed,Married,No,No,Education,Yes,0
QB3F1TK6ZD,62,47752,169871,615,36,1,4.37,24,0.4,Bachelor's,Full-time,Married,No,Yes,Business,No,0
KHSYE3MBEE,41,110965,231318,534,20,4,13.76,48,0.26,PhD,Part-time,Married,No,No,Education,Yes,0
7PAWRXQ0PA,44,31252,160243,483,40,3,16.1,60,0.26,Bachelor's,Self-employed,Single,Yes,Yes,Business,No,0
CCX4155XF9,62,86529,13168,450,35,1,23.73,60,0.17,High School,Self-employed,Divorced,No,No,Other,Yes,0
DAH0D7LCWU,47,139715,135004,753,0,1,2.79,36,0.29,PhD,Full-time,Single,Yes,Yes,Other,No,0
7QW2MNQHPG,43,35976,166001,656,77,4,22.45,12,0.24,High School,Self-employed,Divorced,No,Yes,Education,Yes,0
8CW0797DZ8,53,96132,71028,836,82,4,14.9,12,0.28,Master's,Part-time,Divorced,Yes,No,Other,No,0
